item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
상추,214,적(100g),1,상품,4,100g,당일 (10/25),"1,630",1일전 (10/24),"1,734",1주일전 (10/18),"2,225",2주일전 (10/11),"2,718",1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-25 17:15:48.117773+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/21),"2,085",1일전 (10/20),-,1주일전 (10/14),"2,606",2주일전 (10/07),"2,748",1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-21 17:18:32.717947+09:00
상추,214,적(100g),1,상품,4,100g,당일 (08/13),"2,187",1일전 (08/12),"2,208",1주일전 (08/06),"2,245",2주일전 (07/30),"2,156",1개월전,"1,792",1년전,"1,971",일평년,"1,824",2024-08-13 17:19:05.214481+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/22),"2,051",1일전 (10/21),"2,085",1주일전 (10/15),"2,619",2주일전 (10/08),"2,776",1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-22 17:19:19.054829+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/23),"1,991",1일전 (10/22),"2,051",1주일전 (10/16),"2,549",2주일전 (10/09),-,1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-23 17:19:26.778220+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/24),"1,734",1일전 (10/23),"1,991",1주일전 (10/17),"2,309",2주일전 (10/10),"2,737",1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-24 17:19:39.658059+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/25),"1,630",1일전 (10/24),"1,734",1주일전 (10/18),"2,225",2주일전 (10/11),"2,718",1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-25 17:19:45.400901+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/26),-,1일전 (10/25),"1,630",1주일전 (10/19),-,2주일전 (10/12),-,1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-26 17:19:53.088317+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/26),-,1일전 (10/25),"1,630",1주일전 (10/19),-,2주일전 (10/12),-,1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-26 09:57:59.735512+09:00
상추,214,적(100g),1,상품,4,100g,당일 (10/29),"1,290",1일전 (10/28),"1,155",1주일전 (10/22),"1,535",2주일전 (10/15),"1,995",1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-29 22:49:52.119923+09:00
