item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
피망,255,청(100g),0,상품,4,100g,당일 (10/25),"2,084",1일전 (10/24),"2,068",1주일전 (10/18),"1,777",2주일전 (10/11),"1,724",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-25 17:15:48.117773+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/21),"1,780",1일전 (10/20),-,1주일전 (10/14),"1,725",2주일전 (10/07),"1,675",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-21 17:18:32.717947+09:00
피망,255,청(100g),0,상품,4,100g,당일 (08/13),923,1일전 (08/12),922,1주일전 (08/06),918,2주일전 (07/30),918,1개월전,"1,065",1년전,"1,047",일평년,951,2024-08-13 17:19:05.214481+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/22),"1,874",1일전 (10/21),"1,780",1주일전 (10/15),"1,727",2주일전 (10/08),"1,679",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-22 17:19:19.054829+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/23),"1,914",1일전 (10/22),"1,874",1주일전 (10/16),"1,700",2주일전 (10/09),-,1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-23 17:19:26.778220+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/24),"2,068",1일전 (10/23),"1,914",1주일전 (10/17),"1,762",2주일전 (10/10),"1,710",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-24 17:19:39.658059+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/25),"2,084",1일전 (10/24),"2,068",1주일전 (10/18),"1,777",2주일전 (10/11),"1,724",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-25 17:19:45.400901+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/26),-,1일전 (10/25),"2,084",1주일전 (10/19),-,2주일전 (10/12),-,1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-26 17:19:53.088317+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/26),-,1일전 (10/25),"2,084",1주일전 (10/19),-,2주일전 (10/12),-,1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-26 09:57:59.735512+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/29),"1,475",1일전 (10/28),"1,460",1주일전 (10/22),"1,475",2주일전 (10/15),"1,475",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-29 22:49:52.119923+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/29),"1,475",1일전 (10/28),"1,460",1주일전 (10/22),"1,475",2주일전 (10/15),"1,475",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-29 23:09:04.140088+09:00
피망,255,청(100g),0,상품,4,100g,당일 (10/29),"1,475",1일전 (10/28),"1,460",1주일전 (10/22),"1,475",2주일전 (10/15),"1,475",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-29 23:32:22.286822+09:00
피망,255,청(100g),00,상품,04,100g,당일 (10/29),"1,475",1일전 (10/28),"1,460",1주일전 (10/22),"1,475",2주일전 (10/15),"1,475",1개월전,"1,489",1년전,"1,375",일평년,"1,115",2024-10-29 23:47:18.025415+09:00
