item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
배추,211,여름(고랭지)(1포기),2,상품,4,1포기,당일 (10/29),"6,973",1일전 (10/28),"7,058",1주일전 (10/22),"9,325",2주일전 (10/15),"8,228",1개월전,"9,581",1년전,"5,401",일평년,"5,057",2024-10-29,부산
배추,211,여름(고랭지)(1포기),2,상품,4,1포기,당일 (10/30),"6,598",1일전 (10/29),"6,973",1주일전 (10/23),"9,117",2주일전 (10/16),"8,663",1개월전,"9,581",1년전,"5,401",일평년,"5,057",2024-10-30,부산
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"2,390",1개월전,"3,020",1년전,"3,066",일평년,"3,692",2024-01-01,
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/02),-,1일전 (01/01),-,1주일전 (12/26),"2,280",2주일전 (12/19),"1,780",1개월전,"3,020",1년전,"3,066",일평년,"3,692",2024-01-02,
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/03),-,1일전 (01/02),-,1주일전 (12/27),"2,280",2주일전 (12/20),"1,780",1개월전,"3,020",1년전,"3,066",일평년,"3,692",2024-01-03,
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/04),-,1일전 (01/03),-,1주일전 (12/28),-,2주일전 (12/21),"1,780",1개월전,"3,020",1년전,"3,066",일평년,"3,692",2024-01-04,
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/05),-,1일전 (01/04),-,1주일전 (12/29),-,2주일전 (12/22),"1,780",1개월전,"3,020",1년전,"3,066",일평년,"3,692",2024-01-05,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/06),-,1일전 (01/05),"3,070",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"3,020",1년전,"3,157",일평년,"3,482",2024-01-06,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/08),"3,070",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"3,020",1년전,"3,157",일평년,"3,482",2024-01-08,
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/09),-,1일전 (01/08),-,1주일전 (01/02),-,2주일전 (12/26),"2,280",1개월전,"3,020",1년전,"3,066",일평년,"3,692",2024-01-09,
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/10),-,1일전 (01/09),-,1주일전 (01/03),-,2주일전 (12/27),"2,280",1개월전,"3,020",1년전,"3,066",일평년,"3,692",2024-01-10,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/11),"3,070",1일전 (01/10),"3,070",1주일전 (01/04),"3,155",2주일전 (12/28),"2,970",1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-11,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/12),"2,730",1일전 (01/11),"3,070",1주일전 (01/05),"3,070",2주일전 (12/29),"3,070",1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-12,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/13),-,1일전 (01/12),"2,730",1주일전 (01/06),-,2주일전 (12/30),-,1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-13,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/15),"2,730",1일전 (01/14),-,1주일전 (01/08),"3,070",2주일전 (01/01),-,1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-15,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/16),"2,730",1일전 (01/15),"2,730",1주일전 (01/09),"3,070",2주일전 (01/02),"3,155",1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-16,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/17),"2,650",1일전 (01/16),"2,730",1주일전 (01/10),"3,070",2주일전 (01/03),"3,155",1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-17,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/18),"2,650",1일전 (01/17),"2,650",1주일전 (01/11),"3,070",2주일전 (01/04),"3,155",1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-18,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/19),"2,990",1일전 (01/18),"2,650",1주일전 (01/12),"2,730",2주일전 (01/05),"3,070",1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-19,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/20),-,1일전 (01/19),"2,990",1주일전 (01/13),-,2주일전 (01/06),-,1개월전,"2,899",1년전,"2,878",일평년,"3,410",2024-01-20,
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/22),"3,070",1일전 (01/21),-,1주일전 (01/15),"2,730",2주일전 (01/08),"3,070",1개월전,"2,817",1년전,"2,846",일평년,"3,311",2024-01-22,
