item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
참외,222,참외(10개),0,상품,4,10개,당일 (03/26),"32,300",1일전 (03/25),-,1주일전 (03/19),-,2주일전 (03/12),-,1개월전,-,1년전,"36,669",일평년,"28,807",2024-03-26
참외,222,참외(10개),0,상품,4,10개,당일 (03/27),"32,300",1일전 (03/26),"32,300",1주일전 (03/20),-,2주일전 (03/13),-,1개월전,-,1년전,"36,669",일평년,"28,807",2024-03-27
참외,222,참외(10개),0,상품,4,10개,당일 (03/28),"32,300",1일전 (03/27),"32,300",1주일전 (03/21),-,2주일전 (03/14),-,1개월전,-,1년전,"36,669",일평년,"28,807",2024-03-28
참외,222,참외(10개),0,상품,4,10개,당일 (03/29),"32,300",1일전 (03/28),"32,300",1주일전 (03/22),-,2주일전 (03/15),-,1개월전,-,1년전,"36,669",일평년,"28,807",2024-03-29
참외,222,참외(10개),0,상품,4,10개,당일 (03/30),-,1일전 (03/29),"32,300",1주일전 (03/23),-,2주일전 (03/16),-,1개월전,-,1년전,"36,669",일평년,"28,807",2024-03-30
참외,222,참외(10개),0,상품,4,10개,당일 (04/01),"32,300",1일전 (03/31),-,1주일전 (03/25),-,2주일전 (03/18),-,1개월전,-,1년전,"34,330",일평년,"28,275",2024-04-01
참외,222,참외(10개),0,상품,4,10개,당일 (04/02),"32,900",1일전 (04/01),"32,300",1주일전 (03/26),"32,300",2주일전 (03/19),-,1개월전,-,1년전,"34,330",일평년,"28,275",2024-04-02
참외,222,참외(10개),0,상품,4,10개,당일 (04/03),"32,900",1일전 (04/02),"32,900",1주일전 (03/27),"32,300",2주일전 (03/20),-,1개월전,-,1년전,"34,330",일평년,"28,275",2024-04-03
참외,222,참외(10개),0,상품,4,10개,당일 (04/04),"32,900",1일전 (04/03),"32,900",1주일전 (03/28),"32,300",2주일전 (03/21),-,1개월전,-,1년전,"34,330",일평년,"28,275",2024-04-04
참외,222,참외(10개),0,상품,4,10개,당일 (04/05),"28,100",1일전 (04/04),"32,900",1주일전 (03/29),"32,300",2주일전 (03/22),-,1개월전,-,1년전,"34,330",일평년,"28,275",2024-04-05
