item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
파,246,대파(1kg),0,상품,4,1kg,당일 (10/29),"4,483",1일전 (10/28),"4,423",1주일전 (10/22),"3,430",2주일전 (10/15),"4,373",1개월전,"3,636",1년전,"4,170",일평년,"3,489",2024-10-29,부산
파,246,대파(1kg),0,상품,4,1kg,당일 (10/30),"4,318",1일전 (10/29),"4,483",1주일전 (10/23),"3,898",2주일전 (10/16),"4,373",1개월전,"3,636",1년전,"4,170",일평년,"3,489",2024-10-30,부산
파,246,대파(1kg),0,상품,4,1kg,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"3,075",1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-01,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/02),"4,405",1일전 (01/01),-,1주일전 (12/26),"4,155",2주일전 (12/19),"3,075",1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-02,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/03),"4,405",1일전 (01/02),"4,405",1주일전 (12/27),"4,240",2주일전 (12/20),"3,160",1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-03,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/04),"4,490",1일전 (01/03),"4,405",1주일전 (12/28),"4,240",2주일전 (12/21),"3,245",1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-04,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/05),"3,820",1일전 (01/04),"4,490",1주일전 (12/29),"4,490",2주일전 (12/22),"4,155",1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-05,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/06),-,1일전 (01/05),"3,820",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-06,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/08),"3,905",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-08,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/09),"3,740",1일전 (01/08),"3,905",1주일전 (01/02),"4,405",2주일전 (12/26),"4,155",1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-09,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/10),"3,655",1일전 (01/09),"3,740",1주일전 (01/03),"4,405",2주일전 (12/27),"4,240",1개월전,"4,087",1년전,"3,570",일평년,"3,203",2024-01-10,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/11),"3,570",1일전 (01/10),"3,655",1주일전 (01/04),"4,490",2주일전 (12/28),"4,240",1개월전,"3,817",1년전,"3,379",일평년,"3,048",2024-01-11,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/12),"3,570",1일전 (01/11),"3,570",1주일전 (01/05),"3,820",2주일전 (12/29),"4,490",1개월전,"3,817",1년전,"3,379",일평년,"3,048",2024-01-12,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/13),-,1일전 (01/12),"3,570",1주일전 (01/06),-,2주일전 (12/30),-,1개월전,"3,817",1년전,"3,379",일평년,"3,048",2024-01-13,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/15),"3,570",1일전 (01/14),-,1주일전 (01/08),"3,905",2주일전 (01/01),-,1개월전,"3,817",1년전,"3,379",일평년,"3,048",2024-01-15,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/16),"3,490",1일전 (01/15),"3,570",1주일전 (01/09),"3,740",2주일전 (01/02),"4,405",1개월전,"3,817",1년전,"3,379",일평년,"3,048",2024-01-16,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/17),"3,490",1일전 (01/16),"3,490",1주일전 (01/10),"3,655",2주일전 (01/03),"4,405",1개월전,"3,817",1년전,"3,379",일평년,"3,048",2024-01-17,
파,246,대파(1kg),0,상품,4,1kg,당일 (01/18),"3,490",1일전 (01/17),"3,490",1주일전 (01/11),"3,570",2주일전 (01/04),"4,490",1개월전,"3,817",1년전,"3,379",일평년,"3,048",2024-01-18,
