,Unnamed: 0,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
0,0,배추,211,여름(고랭지)(1포기),2,상품,4,1포기,당일 (11/01),5733.0,1일전 (10/31),"5,598",1주일전 (10/25),8003.0,2주일전 (10/18),9060.0,1개월전,8947.0,1년전,4115.0,일평년,"4,379",2024-11-01,-39.59532530961102,-58.032443746729456,-56.06139891854177,28.222571079713937
1,1,배추,211,여름(고랭지)(1포기),2,중품,5,1포기,당일 (11/01),,1일전 (10/31),-,1주일전 (10/25),,2주일전 (10/18),7830.0,1개월전,8048.0,1년전,,일평년,"3,539",2024-11-01,,,,
2,2,양배추,212,양배추(1포기),0,상품,4,1포기,당일 (11/01),4830.0,1일전 (10/31),"4,830",1주일전 (10/25),4660.0,2주일전 (10/18),4660.0,1개월전,4436.0,1년전,4741.0,일평년,"4,314",2024-11-01,3.5196687370600417,3.5196687370600417,8.157349896480332,1.8426501035196687
3,3,양배추,212,양배추(1포기),0,중품,5,1포기,당일 (11/01),4148.0,1일전 (10/31),"4,323",1주일전 (10/25),3990.0,2주일전 (10/18),3958.0,1개월전,3727.0,1년전,4057.0,일평년,"3,622",2024-11-01,3.8090646094503375,4.580520732883317,10.14946962391514,2.1938283510125363
4,4,시금치,213,시금치(100g),0,상품,4,100g,당일 (11/01),916.0,1일전 (10/31),916,1주일전 (10/25),1032.0,2주일전 (10/18),1833.0,1개월전,2420.0,1년전,871.0,일평년,844,2024-11-01,-12.663755458515283,-100.10917030567686,-164.19213973799128,4.912663755458515
5,5,상추,214,적(100g),1,상품,4,100g,당일 (11/01),1620.0,1일전 (10/31),"1,747",1주일전 (10/25),1860.0,2주일전 (10/18),2617.0,1개월전,2730.0,1년전,1158.0,일평년,"1,126",2024-11-01,-14.814814814814813,-61.543209876543216,-68.51851851851852,28.51851851851852
6,6,상추,214,청(100g),2,상품,4,100g,당일 (11/01),1823.0,1일전 (10/31),"1,948",1주일전 (10/25),1945.0,2주일전 (10/18),2560.0,1개월전,2797.0,1년전,1260.0,일평년,"1,171",2024-11-01,-6.692265496434449,-40.42786615469007,-53.428414701042236,30.883159626988483
7,7,얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (11/01),4603.0,1일전 (10/31),"4,603",1주일전 (10/25),4455.0,2주일전 (10/18),5025.0,1개월전,4930.0,1년전,2556.0,일평년,"2,725",2024-11-01,3.215294373234847,-9.167933956115577,-7.104062567890507,44.470997175754945
8,8,수박,221,수박(1개),0,상품,4,1개,당일 (11/01),,1일전 (10/31),-,1주일전 (10/25),,2주일전 (10/18),26050.0,1개월전,25264.0,1년전,20783.0,일평년,"20,988",2024-11-01,,,,
9,9,수박,221,수박(1개),0,중품,5,1개,당일 (11/01),24850.0,1일전 (10/31),"25,800",1주일전 (10/25),26533.0,2주일전 (10/18),24367.0,1개월전,22196.0,1년전,15794.0,일평년,"18,333",2024-11-01,-6.772635814889336,1.9436619718309858,10.680080482897385,36.44265593561368
10,10,오이,223,가시계통(10개),1,상품,4,10개,당일 (11/01),16875.0,1일전 (10/31),"16,375",1주일전 (10/25),13825.0,2주일전 (10/18),15525.0,1개월전,18046.0,1년전,10916.0,일평년,"9,909",2024-11-01,18.074074074074073,8.0,-6.939259259259259,35.31259259259259
11,11,오이,223,다다기계통(10개),2,상품,4,10개,당일 (11/01),16150.0,1일전 (10/31),"14,475",1주일전 (10/25),14100.0,2주일전 (10/18),14900.0,1개월전,16528.0,1년전,9119.0,일평년,"8,176",2024-11-01,12.693498452012383,7.739938080495357,-2.3405572755417956,43.53560371517028
12,12,오이,223,다다기계통(10개),2,중품,5,10개,당일 (11/01),8500.0,1일전 (10/31),"8,500",1주일전 (10/25),7820.0,2주일전 (10/18),7660.0,1개월전,8264.0,1년전,5943.0,일평년,"5,429",2024-11-01,8.0,9.88235294117647,2.776470588235294,30.08235294117647
13,13,호박,224,애호박(1개),1,상품,4,1개,당일 (11/01),2780.0,1일전 (10/31),"2,780",1주일전 (10/25),2430.0,2주일전 (10/18),2155.0,1개월전,2279.0,1년전,1519.0,일평년,"1,366",2024-11-01,12.589928057553957,22.48201438848921,18.02158273381295,45.35971223021583
14,14,호박,224,애호박(1개),1,중품,5,1개,당일 (11/01),2000.0,1일전 (10/31),"2,000",1주일전 (10/25),1660.0,2주일전 (10/18),1660.0,1개월전,1646.0,1년전,1080.0,일평년,994,2024-11-01,17.0,17.0,17.7,46.0
15,15,호박,224,쥬키니(1개),2,상품,4,1개,당일 (11/01),2990.0,1일전 (10/31),"2,990",1주일전 (10/25),3990.0,2주일전 (10/18),3590.0,1개월전,4109.0,1년전,1883.0,일평년,"1,562",2024-11-01,-33.44481605351171,-20.066889632107024,-37.4247491638796,37.02341137123746
16,16,토마토,225,토마토(1kg),0,상품,4,1kg,당일 (11/01),9180.0,1일전 (10/31),"9,180",1주일전 (10/25),9863.0,2주일전 (10/18),11058.0,1개월전,10099.0,1년전,8931.0,일평년,"7,029",2024-11-01,-7.440087145969498,-20.45751633986928,-10.010893246187363,2.712418300653595
17,17,무,231,고랭지(1개),2,상품,4,1개,당일 (11/01),3370.0,1일전 (10/31),"3,370",1주일전 (10/25),4160.0,2주일전 (10/18),4160.0,1개월전,3731.0,1년전,1719.0,일평년,"2,405",2024-11-01,-23.44213649851632,-23.44213649851632,-10.712166172106825,48.99109792284867
18,18,무,231,고랭지(1개),2,중품,5,1개,당일 (11/01),2810.0,1일전 (10/31),"3,070",1주일전 (10/25),3453.0,2주일전 (10/18),3430.0,1개월전,3309.0,1년전,1575.0,일평년,"2,045",2024-11-01,-22.88256227758007,-22.064056939501782,-17.75800711743772,43.95017793594306
19,19,당근,232,무세척(1kg),1,상품,4,1kg,당일 (11/01),7028.0,1일전 (10/31),"7,128",1주일전 (10/25),6840.0,2주일전 (10/18),6195.0,1개월전,7377.0,1년전,5755.0,일평년,"5,009",2024-11-01,2.6750142287990895,11.852589641434264,-4.965850882185544,18.11326124075128
20,20,당근,232,무세척(1kg),1,중품,5,1kg,당일 (11/01),3825.0,1일전 (10/31),"3,910",1주일전 (10/25),4325.0,2주일전 (10/18),4250.0,1개월전,5569.0,1년전,4607.0,일평년,"3,595",2024-11-01,-13.071895424836603,-11.11111111111111,-45.59477124183007,-20.444444444444446
21,21,열무,233,열무(1kg),0,상품,4,1kg,당일 (11/01),4340.0,1일전 (10/31),"4,468",1주일전 (10/25),4415.0,2주일전 (10/18),4845.0,1개월전,4873.0,1년전,2653.0,일평년,"2,801",2024-11-01,-1.7281105990783412,-11.63594470046083,-12.28110599078341,38.87096774193549
22,22,건고추,241,화건(600g),0,상품,4,600g,당일 (11/01),16833.0,1일전 (10/31),"16,833",1주일전 (10/25),16833.0,2주일전 (10/18),15700.0,1개월전,18406.0,1년전,17388.0,일평년,"16,285",2024-11-01,0.0,6.73082635299709,-9.344739499792075,-3.2970949919800394
23,23,풋고추,242,풋고추(녹광 등)(100g),0,상품,4,100g,당일 (11/01),2118.0,1일전 (10/31),"2,118",1주일전 (10/25),2288.0,2주일전 (10/18),1633.0,1개월전,1861.0,1년전,1631.0,일평년,"1,539",2024-11-01,-8.026440037771483,22.898961284230406,12.134088762983946,22.993389990557127
24,24,풋고추,242,꽈리고추(100g),2,상품,4,100g,당일 (11/01),1878.0,1일전 (10/31),"1,878",1주일전 (10/25),1925.0,2주일전 (10/18),1838.0,1개월전,2193.0,1년전,1283.0,일평년,"1,257",2024-11-01,-2.5026624068157615,2.1299254526091587,-16.773162939297126,31.68264110756124
25,25,풋고추,242,꽈리고추(100g),2,중품,5,100g,당일 (11/01),1580.0,1일전 (10/31),"1,580",1주일전 (10/25),1595.0,2주일전 (10/18),1445.0,1개월전,1212.0,1년전,836.0,일평년,845,2024-11-01,-0.949367088607595,8.544303797468354,23.29113924050633,47.08860759493671
