item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (10/29),"3,379",1일전 (10/28),"3,554",1주일전 (10/22),"3,756",2주일전 (10/15),"4,524",1개월전,"5,255",1년전,"2,677",일평년,"2,678",2024-10-29,서울
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (10/30),"3,393",1일전 (10/29),"3,379",1주일전 (10/23),"3,577",2주일전 (10/16),"4,323",1개월전,"5,255",1년전,"2,677",일평년,"2,678",2024-10-30,서울
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"1,905",1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-01,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/02),"2,000",1일전 (01/01),-,1주일전 (12/26),"2,070",2주일전 (12/19),"1,905",1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-02,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/03),"2,000",1일전 (01/02),"2,000",1주일전 (12/27),"2,070",2주일전 (12/20),"1,990",1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-03,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/04),"2,160",1일전 (01/03),"2,000",1주일전 (12/28),"2,070",2주일전 (12/21),"1,990",1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-04,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/05),"2,330",1일전 (01/04),"2,160",1주일전 (12/29),"2,000",2주일전 (12/22),"2,070",1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-05,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/06),-,1일전 (01/05),"2,330",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-06,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/08),"2,330",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-08,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/09),"2,410",1일전 (01/08),"2,330",1주일전 (01/02),"2,000",2주일전 (12/26),"2,070",1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-09,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/10),"2,410",1일전 (01/09),"2,410",1주일전 (01/03),"2,000",2주일전 (12/27),"2,070",1개월전,"2,926",1년전,"2,865",일평년,"2,451",2024-01-10,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/11),"2,830",1일전 (01/10),"2,410",1주일전 (01/04),"2,160",2주일전 (12/28),"2,070",1개월전,"2,805",1년전,"3,054",일평년,"2,614",2024-01-11,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/12),"2,830",1일전 (01/11),"2,830",1주일전 (01/05),"2,330",2주일전 (12/29),"2,000",1개월전,"2,805",1년전,"3,054",일평년,"2,614",2024-01-12,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/13),-,1일전 (01/12),"2,830",1주일전 (01/06),-,2주일전 (12/30),-,1개월전,"2,805",1년전,"3,054",일평년,"2,614",2024-01-13,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/15),"2,750",1일전 (01/14),-,1주일전 (01/08),"2,330",2주일전 (01/01),-,1개월전,"2,805",1년전,"3,054",일평년,"2,614",2024-01-15,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/16),"2,750",1일전 (01/15),"2,750",1주일전 (01/09),"2,410",2주일전 (01/02),"2,000",1개월전,"2,805",1년전,"3,054",일평년,"2,614",2024-01-16,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/17),"2,660",1일전 (01/16),"2,750",1주일전 (01/10),"2,410",2주일전 (01/03),"2,000",1개월전,"2,805",1년전,"3,054",일평년,"2,614",2024-01-17,
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/18),"2,500",1일전 (01/17),"2,660",1주일전 (01/11),"2,830",2주일전 (01/04),"2,160",1개월전,"2,805",1년전,"3,054",일평년,"2,614",2024-01-18,
