,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
0,배추,211,여름(고랭지)(1포기),02,상품,04,1포기,당일 (11/02),-,1일전 (11/01),"4,213",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"8,947",1년전,"4,115",일평년,"4,379",2024-11-02
1,양배추,212,양배추(1포기),00,상품,04,1포기,당일 (11/02),-,1일전 (11/01),"6,514",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"4,436",1년전,"4,741",일평년,"4,314",2024-11-02
2,양배추,212,양배추(1포기),00,중품,05,1포기,당일 (11/02),-,1일전 (11/01),"4,540",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"3,727",1년전,"4,057",일평년,"3,622",2024-11-02
3,시금치,213,시금치(100g),00,상품,04,100g,당일 (11/02),-,1일전 (11/01),918,1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,420",1년전,871,일평년,844,2024-11-02
4,상추,214,적(100g),01,상품,04,100g,당일 (11/02),-,1일전 (11/01),"1,748",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,730",1년전,"1,158",일평년,"1,126",2024-11-02
5,상추,214,청(100g),02,상품,04,100g,당일 (11/02),-,1일전 (11/01),"1,799",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,797",1년전,"1,260",일평년,"1,171",2024-11-02
6,얼갈이배추,215,얼갈이배추(1kg),00,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"3,641",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"4,930",1년전,"2,556",일평년,"2,725",2024-11-02
7,갓,216,갓(1kg),00,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"3,610",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,-,1년전,"3,247",일평년,"3,489",2024-11-02
8,수박,221,수박(1개),00,상품,04,1개,당일 (11/02),-,1일전 (11/01),"28,000",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"25,264",1년전,"20,783",일평년,"20,988",2024-11-02
9,수박,221,수박(1개),00,중품,05,1개,당일 (11/02),-,1일전 (11/01),"22,925",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"22,196",1년전,"15,794",일평년,"18,333",2024-11-02
10,오이,223,가시계통(10개),01,상품,04,10개,당일 (11/02),-,1일전 (11/01),"18,275",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"18,046",1년전,"10,916",일평년,"9,909",2024-11-02
11,오이,223,다다기계통(10개),02,상품,04,10개,당일 (11/02),-,1일전 (11/01),"14,713",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"16,528",1년전,"9,119",일평년,"8,176",2024-11-02
12,오이,223,다다기계통(10개),02,중품,05,10개,당일 (11/02),-,1일전 (11/01),"8,507",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"8,264",1년전,"5,943",일평년,"5,429",2024-11-02
13,오이,223,취청(10개),03,상품,04,10개,당일 (11/02),-,1일전 (11/01),"16,025",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"20,397",1년전,"11,330",일평년,"10,230",2024-11-02
14,호박,224,애호박(1개),01,상품,04,1개,당일 (11/02),-,1일전 (11/01),"2,267",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,279",1년전,"1,519",일평년,"1,366",2024-11-02
15,호박,224,애호박(1개),01,중품,05,1개,당일 (11/02),-,1일전 (11/01),"1,790",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"1,646",1년전,"1,080",일평년,994,2024-11-02
16,호박,224,쥬키니(1개),02,상품,04,1개,당일 (11/02),-,1일전 (11/01),"2,240",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"4,109",1년전,"1,883",일평년,"1,562",2024-11-02
17,토마토,225,토마토(1kg),00,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"8,948",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"10,099",1년전,"8,931",일평년,"7,029",2024-11-02
18,무,231,고랭지(1개),02,상품,04,1개,당일 (11/02),-,1일전 (11/01),"2,755",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"3,731",1년전,"1,719",일평년,"2,405",2024-11-02
19,무,231,고랭지(1개),02,중품,05,1개,당일 (11/02),-,1일전 (11/01),"2,822",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"3,309",1년전,"1,575",일평년,"2,045",2024-11-02
20,당근,232,무세척(1kg),01,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"7,146",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"7,377",1년전,"5,755",일평년,"5,009",2024-11-02
21,당근,232,무세척(1kg),01,중품,05,1kg,당일 (11/02),-,1일전 (11/01),"5,500",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"5,569",1년전,"4,607",일평년,"3,595",2024-11-02
22,열무,233,열무(1kg),00,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"4,225",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"4,873",1년전,"2,653",일평년,"2,801",2024-11-02
23,건고추,241,화건(600g),00,상품,04,600g,당일 (11/02),-,1일전 (11/01),"19,500",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"18,406",1년전,"17,388",일평년,"16,285",2024-11-02
24,풋고추,242,풋고추(녹광 등)(100g),00,상품,04,100g,당일 (11/02),-,1일전 (11/01),"2,141",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"1,861",1년전,"1,631",일평년,"1,539",2024-11-02
25,풋고추,242,꽈리고추(100g),02,상품,04,100g,당일 (11/02),-,1일전 (11/01),"1,717",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,193",1년전,"1,283",일평년,"1,257",2024-11-02
26,풋고추,242,꽈리고추(100g),02,중품,05,100g,당일 (11/02),-,1일전 (11/01),910,1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"1,212",1년전,836,일평년,845,2024-11-02
27,풋고추,242,청양고추(100g),03,상품,04,100g,당일 (11/02),-,1일전 (11/01),"1,726",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"1,464",1년전,"1,377",일평년,"1,082",2024-11-02
28,풋고추,242,청양고추(100g),03,중품,05,100g,당일 (11/02),-,1일전 (11/01),740,1주일전 (10/26),-,2주일전 (10/19),-,1개월전,920,1년전,880,일평년,756,2024-11-02
29,풋고추,242,오이맛고추(100g),04,상품,04,100g,당일 (11/02),-,1일전 (11/01),"1,497",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"1,304",1년전,"1,187",일평년,"1,089",2024-11-02
30,풋고추,242,오이맛고추(100g),04,중품,05,100g,당일 (11/02),-,1일전 (11/01),"1,080",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,-,1년전,-,일평년,-,2024-11-02
31,붉은고추,243,붉은고추(100g),00,상품,04,100g,당일 (11/02),-,1일전 (11/01),"2,680",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,479",1년전,"1,960",일평년,"1,922",2024-11-02
32,양파,245,양파(1kg),00,상품,04,1kg,당일 (11/02),-,1일전 (11/01),"2,172",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,"2,138",1년전,"2,108",일평년,"2,193",2024-11-02
