item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (10/29),"2,050",1일전 (10/28),"1,990",1주일전 (10/22),"2,315",2주일전 (10/15),"2,680",1개월전,"3,514",1년전,"2,721",일평년,"2,431",2024-10-29,전주
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (10/30),"2,050",1일전 (10/29),"2,050",1주일전 (10/23),"2,255",2주일전 (10/16),"2,680",1개월전,"3,514",1년전,"2,721",일평년,"2,431",2024-10-30,전주
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"1,795",1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-01,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/02),"2,430",1일전 (01/01),-,1주일전 (12/26),"1,945",2주일전 (12/19),"1,855",1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-02,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/03),"2,350",1일전 (01/02),"2,430",1주일전 (12/27),"2,120",2주일전 (12/20),"1,855",1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-03,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/04),"2,350",1일전 (01/03),"2,350",1주일전 (12/28),"2,235",2주일전 (12/21),"1,855",1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-04,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/05),"2,320",1일전 (01/04),"2,350",1주일전 (12/29),"2,350",2주일전 (12/22),"1,885",1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-05,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/06),-,1일전 (01/05),"2,320",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-06,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/08),"2,350",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-08,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/09),"2,405",1일전 (01/08),"2,350",1주일전 (01/02),"2,430",2주일전 (12/26),"1,945",1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-09,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/10),"2,405",1일전 (01/09),"2,405",1주일전 (01/03),"2,350",2주일전 (12/27),"2,120",1개월전,"2,424",1년전,"3,001",일평년,"2,474",2024-01-10,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/11),"2,320",1일전 (01/10),"2,405",1주일전 (01/04),"2,350",2주일전 (12/28),"2,235",1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-11,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/12),"2,320",1일전 (01/11),"2,320",1주일전 (01/05),"2,320",2주일전 (12/29),"2,350",1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-12,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/13),-,1일전 (01/12),"2,320",1주일전 (01/06),-,2주일전 (12/30),-,1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-13,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/15),"2,320",1일전 (01/14),-,1주일전 (01/08),"2,350",2주일전 (01/01),-,1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-15,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/16),"2,320",1일전 (01/15),"2,320",1주일전 (01/09),"2,405",2주일전 (01/02),"2,430",1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-16,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/17),"2,295",1일전 (01/16),"2,320",1주일전 (01/10),"2,405",2주일전 (01/03),"2,350",1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-17,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/18),"2,295",1일전 (01/17),"2,295",1주일전 (01/11),"2,320",2주일전 (01/04),"2,350",1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-18,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/19),"2,295",1일전 (01/18),"2,295",1주일전 (01/12),"2,320",2주일전 (01/05),"2,320",1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-19,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/20),-,1일전 (01/19),"2,295",1주일전 (01/13),-,2주일전 (01/06),-,1개월전,"2,391",1년전,"2,925",일평년,"2,595",2024-01-20,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/22),"2,210",1일전 (01/21),-,1주일전 (01/15),"2,320",2주일전 (01/08),"2,350",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-22,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/23),"2,120",1일전 (01/22),"2,210",1주일전 (01/16),"2,320",2주일전 (01/09),"2,405",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-23,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/24),"2,005",1일전 (01/23),"2,120",1주일전 (01/17),"2,295",2주일전 (01/10),"2,405",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-24,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/25),"2,005",1일전 (01/24),"2,005",1주일전 (01/18),"2,295",2주일전 (01/11),"2,320",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-25,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/26),"2,005",1일전 (01/25),"2,005",1주일전 (01/19),"2,295",2주일전 (01/12),"2,320",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-26,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/27),-,1일전 (01/26),"2,005",1주일전 (01/20),-,2주일전 (01/13),-,1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-27,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/29),"2,005",1일전 (01/28),-,1주일전 (01/22),"2,210",2주일전 (01/15),"2,320",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-29,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/30),"2,005",1일전 (01/29),"2,005",1주일전 (01/23),"2,120",2주일전 (01/16),"2,320",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-30,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/31),"2,065",1일전 (01/30),"2,005",1주일전 (01/24),"2,005",2주일전 (01/17),"2,295",1개월전,"2,569",1년전,"2,922",일평년,"2,615",2024-01-31,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/01),"2,065",1일전 (01/31),"2,065",1주일전 (01/25),"2,005",2주일전 (01/18),"2,295",1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-01,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/02),"2,065",1일전 (02/01),"2,065",1주일전 (01/26),"2,005",2주일전 (01/19),"2,295",1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-02,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/03),-,1일전 (02/02),"2,065",1주일전 (01/27),-,2주일전 (01/20),-,1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-03,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/05),"2,330",1일전 (02/04),-,1주일전 (01/29),"2,005",2주일전 (01/22),"2,210",1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-05,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/06),"2,350",1일전 (02/05),"2,330",1주일전 (01/30),"2,005",2주일전 (01/23),"2,120",1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-06,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/07),"2,460",1일전 (02/06),"2,350",1주일전 (01/31),"2,065",2주일전 (01/24),"2,005",1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-07,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/08),"2,460",1일전 (02/07),"2,460",1주일전 (02/01),"2,065",2주일전 (01/25),"2,005",1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-08,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/09),-,1일전 (02/08),"2,460",1주일전 (02/02),"2,065",2주일전 (01/26),"2,005",1개월전,"2,817",1년전,"2,734",일평년,"2,412",2024-02-09,
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (02/12),-,1일전 (02/11),-,1주일전 (02/05),"2,330",2주일전 (01/29),"2,005",1개월전,"2,688",1년전,"2,646",일평년,"2,383",2024-02-12,
