item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"1,955",1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-01
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/02),"2,225",1일전 (01/01),-,1주일전 (12/26),"1,985",2주일전 (12/19),"1,940",1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-02
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/03),"2,545",1일전 (01/02),"2,225",1주일전 (12/27),"2,115",2주일전 (12/20),"1,970",1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-03
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/04),"2,275",1일전 (01/03),"2,545",1주일전 (12/28),"2,150",2주일전 (12/21),"1,940",1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-04
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/05),"2,230",1일전 (01/04),"2,275",1주일전 (12/29),"2,495",2주일전 (12/22),"1,985",1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-05
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/06),-,1일전 (01/05),"2,230",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-06
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/08),"2,045",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-08
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/09),"1,975",1일전 (01/08),"2,045",1주일전 (01/02),"2,225",2주일전 (12/26),"1,985",1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-09
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/10),"1,975",1일전 (01/09),"1,975",1주일전 (01/03),"2,545",2주일전 (12/27),"2,115",1개월전,"2,451",1년전,"2,091",일평년,"1,820",2024-01-10
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/11),"1,895",1일전 (01/10),"1,975",1주일전 (01/04),"2,275",2주일전 (12/28),"2,150",1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-11
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/12),"1,960",1일전 (01/11),"1,895",1주일전 (01/05),"2,230",2주일전 (12/29),"2,495",1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-12
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/13),-,1일전 (01/12),"1,960",1주일전 (01/06),-,2주일전 (12/30),-,1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-13
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/15),"1,960",1일전 (01/14),-,1주일전 (01/08),"2,045",2주일전 (01/01),-,1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-15
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/16),"2,030",1일전 (01/15),"1,960",1주일전 (01/09),"1,975",2주일전 (01/02),"2,225",1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-16
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/17),"2,030",1일전 (01/16),"2,030",1주일전 (01/10),"1,975",2주일전 (01/03),"2,545",1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-17
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/18),"2,030",1일전 (01/17),"2,030",1주일전 (01/11),"1,895",2주일전 (01/04),"2,275",1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-18
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/19),"1,840",1일전 (01/18),"2,030",1주일전 (01/12),"1,960",2주일전 (01/05),"2,230",1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-19
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/20),-,1일전 (01/19),"1,840",1주일전 (01/13),-,2주일전 (01/06),-,1개월전,"2,230",1년전,"1,915",일평년,"1,700",2024-01-20
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/22),"1,840",1일전 (01/21),-,1주일전 (01/15),"1,960",2주일전 (01/08),"2,045",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-22
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/23),"1,940",1일전 (01/22),"1,840",1주일전 (01/16),"2,030",2주일전 (01/09),"1,975",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-23
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/24),"1,940",1일전 (01/23),"1,940",1주일전 (01/17),"2,030",2주일전 (01/10),"1,975",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-24
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/25),"1,940",1일전 (01/24),"1,940",1주일전 (01/18),"2,030",2주일전 (01/11),"1,895",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-25
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/26),"2,175",1일전 (01/25),"1,940",1주일전 (01/19),"1,840",2주일전 (01/12),"1,960",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-26
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/27),-,1일전 (01/26),"2,175",1주일전 (01/20),-,2주일전 (01/13),-,1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-27
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/29),"2,330",1일전 (01/28),-,1주일전 (01/22),"1,840",2주일전 (01/15),"1,960",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-29
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/30),"2,160",1일전 (01/29),"2,330",1주일전 (01/23),"1,940",2주일전 (01/16),"2,030",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-30
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/31),"2,160",1일전 (01/30),"2,160",1주일전 (01/24),"1,940",2주일전 (01/17),"2,030",1개월전,"2,403",1년전,"1,806",일평년,"1,695",2024-01-31
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/01),"2,160",1일전 (01/31),"2,160",1주일전 (01/25),"1,940",2주일전 (01/18),"2,030",1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-01
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/02),"2,035",1일전 (02/01),"2,160",1주일전 (01/26),"2,175",2주일전 (01/19),"1,840",1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-02
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/03),-,1일전 (02/02),"2,035",1주일전 (01/27),-,2주일전 (01/20),-,1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-03
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/05),"2,035",1일전 (02/04),-,1주일전 (01/29),"2,330",2주일전 (01/22),"1,840",1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-05
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/06),"2,065",1일전 (02/05),"2,035",1주일전 (01/30),"2,160",2주일전 (01/23),"1,940",1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-06
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/07),"2,065",1일전 (02/06),"2,065",1주일전 (01/31),"2,160",2주일전 (01/24),"1,940",1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-07
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/08),"2,330",1일전 (02/07),"2,065",1주일전 (02/01),"2,160",2주일전 (01/25),"1,940",1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-08
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/09),-,1일전 (02/08),"2,330",1주일전 (02/02),"2,035",2주일전 (01/26),"2,175",1개월전,"2,303",1년전,"1,750",일평년,"1,567",2024-02-09
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/12),-,1일전 (02/11),-,1주일전 (02/05),"2,035",2주일전 (01/29),"2,330",1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-12
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/13),"2,220",1일전 (02/12),-,1주일전 (02/06),"2,065",2주일전 (01/30),"2,160",1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-13
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/14),"1,675",1일전 (02/13),"2,220",1주일전 (02/07),"2,065",2주일전 (01/31),"2,160",1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-14
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/15),"1,645",1일전 (02/14),"1,675",1주일전 (02/08),"2,330",2주일전 (02/01),"2,160",1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-15
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/16),"1,490",1일전 (02/15),"1,645",1주일전 (02/09),-,2주일전 (02/02),"2,035",1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-16
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/17),-,1일전 (02/16),"1,490",1주일전 (02/10),-,2주일전 (02/03),-,1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-17
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/19),"1,540",1일전 (02/18),-,1주일전 (02/12),-,2주일전 (02/05),"2,035",1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-19
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/20),"1,525",1일전 (02/19),"1,540",1주일전 (02/13),"2,220",2주일전 (02/06),"2,065",1개월전,"1,877",1년전,"1,551",일평년,"1,377",2024-02-20
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/21),"1,525",1일전 (02/20),"1,525",1주일전 (02/14),"1,675",2주일전 (02/07),"2,065",1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-21
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/22),"1,510",1일전 (02/21),"1,525",1주일전 (02/15),"1,645",2주일전 (02/08),"2,330",1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-22
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/23),"1,370",1일전 (02/22),"1,510",1주일전 (02/16),"1,490",2주일전 (02/09),-,1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-23
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/24),-,1일전 (02/23),"1,370",1주일전 (02/17),-,2주일전 (02/10),-,1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-24
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/26),"1,445",1일전 (02/25),-,1주일전 (02/19),"1,540",2주일전 (02/12),-,1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-26
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/27),"1,515",1일전 (02/26),"1,445",1주일전 (02/20),"1,525",2주일전 (02/13),"2,220",1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-27
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/28),"1,530",1일전 (02/27),"1,515",1주일전 (02/21),"1,525",2주일전 (02/14),"1,675",1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-28
딸기,226,딸기(100g),0,상품,4,100g,당일 (02/29),"1,530",1일전 (02/28),"1,530",1주일전 (02/22),"1,510",2주일전 (02/15),"1,645",1개월전,"2,271",1년전,"1,647",일평년,"1,238",2024-02-29
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/01),-,1일전 (02/29),"1,530",1주일전 (02/23),"1,370",2주일전 (02/16),"1,490",1개월전,"2,350",1년전,"1,564",일평년,"1,182",2024-03-01
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/04),"1,795",1일전 (03/03),-,1주일전 (02/26),"1,445",2주일전 (02/19),"1,540",1개월전,"2,350",1년전,"1,564",일평년,"1,182",2024-03-04
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/05),"1,895",1일전 (03/04),"1,795",1주일전 (02/27),"1,515",2주일전 (02/20),"1,525",1개월전,"2,350",1년전,"1,564",일평년,"1,182",2024-03-05
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/06),"1,860",1일전 (03/05),"1,895",1주일전 (02/28),"1,530",2주일전 (02/21),"1,525",1개월전,"2,350",1년전,"1,564",일평년,"1,182",2024-03-06
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/07),"1,505",1일전 (03/06),"1,860",1주일전 (02/29),"1,530",2주일전 (02/22),"1,510",1개월전,"2,350",1년전,"1,564",일평년,"1,182",2024-03-07
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/08),"1,625",1일전 (03/07),"1,505",1주일전 (03/01),-,2주일전 (02/23),"1,370",1개월전,"2,350",1년전,"1,564",일평년,"1,182",2024-03-08
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/09),-,1일전 (03/08),"1,625",1주일전 (03/02),-,2주일전 (02/24),-,1개월전,"2,350",1년전,"1,564",일평년,"1,182",2024-03-09
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/11),"1,625",1일전 (03/10),-,1주일전 (03/04),"1,795",2주일전 (02/26),"1,445",1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-11
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/12),"1,610",1일전 (03/11),"1,625",1주일전 (03/05),"1,895",2주일전 (02/27),"1,515",1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-12
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/13),"1,540",1일전 (03/12),"1,610",1주일전 (03/06),"1,860",2주일전 (02/28),"1,530",1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-13
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/14),"1,560",1일전 (03/13),"1,540",1주일전 (03/07),"1,505",2주일전 (02/29),"1,530",1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-14
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/15),"1,310",1일전 (03/14),"1,560",1주일전 (03/08),"1,625",2주일전 (03/01),-,1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-15
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/16),-,1일전 (03/15),"1,310",1주일전 (03/09),-,2주일전 (03/02),-,1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-16
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/18),"1,242",1일전 (03/17),-,1주일전 (03/11),"1,625",2주일전 (03/04),"1,795",1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-18
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/19),"1,242",1일전 (03/18),"1,242",1주일전 (03/12),"1,610",2주일전 (03/05),"1,895",1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-19
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/20),"1,272",1일전 (03/19),"1,242",1주일전 (03/13),"1,540",2주일전 (03/06),"1,860",1개월전,"1,959",1년전,"1,511",일평년,"1,120",2024-03-20
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/21),"1,245",1일전 (03/20),"1,272",1주일전 (03/14),"1,560",2주일전 (03/07),"1,505",1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-21
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/22),"1,272",1일전 (03/21),"1,245",1주일전 (03/15),"1,310",2주일전 (03/08),"1,625",1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-22
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/23),-,1일전 (03/22),"1,272",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-23
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/25),"1,310",1일전 (03/24),-,1주일전 (03/18),"1,242",2주일전 (03/11),"1,625",1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-25
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/26),"1,280",1일전 (03/25),"1,310",1주일전 (03/19),"1,242",2주일전 (03/12),"1,610",1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-26
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/27),"1,280",1일전 (03/26),"1,280",1주일전 (03/20),"1,272",2주일전 (03/13),"1,540",1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-27
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/28),"1,280",1일전 (03/27),"1,280",1주일전 (03/21),"1,245",2주일전 (03/14),"1,560",1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-28
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/29),"1,305",1일전 (03/28),"1,280",1주일전 (03/22),"1,272",2주일전 (03/15),"1,310",1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-29
딸기,226,딸기(100g),0,상품,4,100g,당일 (03/30),-,1일전 (03/29),"1,305",1주일전 (03/23),-,2주일전 (03/16),-,1개월전,"1,718",1년전,"1,392",일평년,"1,032",2024-03-30
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/01),"1,223",1일전 (03/31),-,1주일전 (03/25),"1,310",2주일전 (03/18),"1,242",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-01
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/02),"1,305",1일전 (04/01),"1,223",1주일전 (03/26),"1,280",2주일전 (03/19),"1,242",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-02
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/03),"1,223",1일전 (04/02),"1,305",1주일전 (03/27),"1,280",2주일전 (03/20),"1,272",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-03
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/04),"1,171",1일전 (04/03),"1,223",1주일전 (03/28),"1,280",2주일전 (03/21),"1,245",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-04
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/05),"1,125",1일전 (04/04),"1,171",1주일전 (03/29),"1,305",2주일전 (03/22),"1,272",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-05
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/06),-,1일전 (04/05),"1,125",1주일전 (03/30),-,2주일전 (03/23),-,1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-06
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/08),"1,315",1일전 (04/07),-,1주일전 (04/01),"1,223",2주일전 (03/25),"1,310",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-08
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/09),"1,195",1일전 (04/08),"1,315",1주일전 (04/02),"1,305",2주일전 (03/26),"1,280",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-09
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/10),-,1일전 (04/09),"1,195",1주일전 (04/03),"1,223",2주일전 (03/27),"1,280",1개월전,"1,663",1년전,"1,284",일평년,"1,019",2024-04-10
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/11),"1,150",1일전 (04/10),-,1주일전 (04/04),"1,171",2주일전 (03/28),"1,280",1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-11
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/12),"1,090",1일전 (04/11),"1,150",1주일전 (04/05),"1,125",2주일전 (03/29),"1,305",1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-12
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/13),-,1일전 (04/12),"1,090",1주일전 (04/06),-,2주일전 (03/30),-,1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-13
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/15),"1,065",1일전 (04/14),-,1주일전 (04/08),"1,315",2주일전 (04/01),"1,223",1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-15
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/16),"1,100",1일전 (04/15),"1,065",1주일전 (04/09),"1,195",2주일전 (04/02),"1,305",1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-16
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/17),"1,100",1일전 (04/16),"1,100",1주일전 (04/10),-,2주일전 (04/03),"1,223",1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-17
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/18),"1,100",1일전 (04/17),"1,100",1주일전 (04/11),"1,150",2주일전 (04/04),"1,171",1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-18
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/19),"1,003",1일전 (04/18),"1,100",1주일전 (04/12),"1,090",2주일전 (04/05),"1,125",1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-19
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/20),-,1일전 (04/19),"1,003",1주일전 (04/13),-,2주일전 (04/06),-,1개월전,"1,474",1년전,"1,188",일평년,995,2024-04-20
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/22),868,1일전 (04/21),-,1주일전 (04/15),"1,065",2주일전 (04/08),"1,315",1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-22
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/23),868,1일전 (04/22),868,1주일전 (04/16),"1,100",2주일전 (04/09),"1,195",1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-23
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/24),"1,005",1일전 (04/23),868,1주일전 (04/17),"1,100",2주일전 (04/10),-,1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-24
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/25),"1,005",1일전 (04/24),"1,005",1주일전 (04/18),"1,100",2주일전 (04/11),"1,150",1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-25
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/26),"1,025",1일전 (04/25),"1,005",1주일전 (04/19),"1,003",2주일전 (04/12),"1,090",1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-26
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/27),-,1일전 (04/26),"1,025",1주일전 (04/20),-,2주일전 (04/13),-,1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-27
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/29),"1,005",1일전 (04/28),-,1주일전 (04/22),868,2주일전 (04/15),"1,065",1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-29
딸기,226,딸기(100g),0,상품,4,100g,당일 (04/30),"1,005",1일전 (04/29),"1,005",1주일전 (04/23),868,2주일전 (04/16),"1,100",1개월전,"1,288",1년전,"1,145",일평년,"1,006",2024-04-30
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/01),-,1일전 (04/30),"1,005",1주일전 (04/24),"1,005",2주일전 (04/17),"1,100",1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-01
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/02),"1,005",1일전 (05/01),-,1주일전 (04/25),"1,005",2주일전 (04/18),"1,100",1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-02
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/03),990,1일전 (05/02),"1,005",1주일전 (04/26),"1,025",2주일전 (04/19),"1,003",1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-03
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/04),-,1일전 (05/03),990,1주일전 (04/27),-,2주일전 (04/20),-,1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-04
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/06),-,1일전 (05/05),-,1주일전 (04/29),"1,005",2주일전 (04/22),868,1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-06
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/07),"1,055",1일전 (05/06),-,1주일전 (04/30),"1,005",2주일전 (04/23),868,1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-07
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/08),"1,090",1일전 (05/07),"1,055",1주일전 (05/01),-,2주일전 (04/24),"1,005",1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-08
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/09),"1,090",1일전 (05/08),"1,090",1주일전 (05/02),"1,005",2주일전 (04/25),"1,005",1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-09
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/10),"1,090",1일전 (05/09),"1,090",1주일전 (05/03),990,2주일전 (04/26),"1,025",1개월전,"1,288",1년전,"1,168",일평년,"1,015",2024-05-10
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/11),-,1일전 (05/10),"1,090",1주일전 (05/04),-,2주일전 (04/27),-,1개월전,"1,245",1년전,"1,151",일평년,"1,037",2024-05-11
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/13),"1,090",1일전 (05/12),-,1주일전 (05/06),-,2주일전 (04/29),"1,005",1개월전,"1,245",1년전,"1,151",일평년,"1,037",2024-05-13
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/14),"1,055",1일전 (05/13),"1,090",1주일전 (05/07),"1,055",2주일전 (04/30),"1,005",1개월전,"1,245",1년전,"1,151",일평년,"1,037",2024-05-14
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/15),-,1일전 (05/14),"1,055",1주일전 (05/08),"1,090",2주일전 (05/01),-,1개월전,"1,245",1년전,"1,151",일평년,"1,037",2024-05-15
딸기,226,딸기(100g),0,상품,4,100g,당일 (05/16),"1,055",1일전 (05/15),-,1주일전 (05/09),"1,090",2주일전 (05/02),"1,005",1개월전,"1,245",1년전,"1,151",일평년,"1,037",2024-05-16
