item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
양파,245,양파(1kg),0,상품,4,1kg,당일 (10/29),"1,825",1일전 (10/28),"1,825",1주일전 (10/22),"2,105",2주일전 (10/15),"2,105",1개월전,"2,163",1년전,"2,350",일평년,"2,291",2024-10-29,전주
양파,245,양파(1kg),0,상품,4,1kg,당일 (10/30),"1,825",1일전 (10/29),"1,825",1주일전 (10/23),"2,105",2주일전 (10/16),"2,105",1개월전,"2,163",1년전,"2,350",일평년,"2,291",2024-10-30,전주
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"1,790",1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-01,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/02),"2,205",1일전 (01/01),-,1주일전 (12/26),"2,070",2주일전 (12/19),"1,790",1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-02,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/03),"2,205",1일전 (01/02),"2,205",1주일전 (12/27),"2,070",2주일전 (12/20),"1,790",1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-03,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/04),"2,205",1일전 (01/03),"2,205",1주일전 (12/28),"2,070",2주일전 (12/21),"1,790",1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-04,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/05),"1,790",1일전 (01/04),"2,205",1주일전 (12/29),"1,960",2주일전 (12/22),"2,070",1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-05,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/06),-,1일전 (01/05),"1,790",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-06,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/08),"1,790",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-08,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/09),"1,825",1일전 (01/08),"1,790",1주일전 (01/02),"2,205",2주일전 (12/26),"2,070",1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-09,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/10),"1,825",1일전 (01/09),"1,825",1주일전 (01/03),"2,205",2주일전 (12/27),"2,070",1개월전,"2,401",1년전,"2,888",일평년,"2,083",2024-01-10,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/11),"1,825",1일전 (01/10),"1,825",1주일전 (01/04),"2,205",2주일전 (12/28),"2,070",1개월전,"2,367",1년전,"2,766",일평년,"2,157",2024-01-11,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/12),"2,105",1일전 (01/11),"1,825",1주일전 (01/05),"1,790",2주일전 (12/29),"1,960",1개월전,"2,367",1년전,"2,766",일평년,"2,157",2024-01-12,
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/13),-,1일전 (01/12),"2,105",1주일전 (01/06),-,2주일전 (12/30),-,1개월전,"2,367",1년전,"2,766",일평년,"2,157",2024-01-13,
