item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
호박,224,애호박(1개),1,상품,4,1개,당일 (10/29),"1,990",1일전 (10/28),"1,990",1주일전 (10/22),"1,905",2주일전 (10/15),"2,155",1개월전,"2,286",1년전,"1,507",일평년,"1,486",2024-10-29,전주
호박,224,애호박(1개),1,상품,4,1개,당일 (10/30),"1,990",1일전 (10/29),"1,990",1주일전 (10/23),"1,905",2주일전 (10/16),"1,990",1개월전,"2,286",1년전,"1,507",일평년,"1,486",2024-10-30,전주
호박,224,애호박(1개),1,상품,4,1개,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"1,470",1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-01,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/02),"1,990",1일전 (01/01),-,1주일전 (12/26),"1,990",2주일전 (12/19),"1,470",1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-02,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/03),"2,105",1일전 (01/02),"1,990",1주일전 (12/27),"1,990",2주일전 (12/20),"1,570",1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-03,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/04),"2,055",1일전 (01/03),"2,105",1주일전 (12/28),"1,990",2주일전 (12/21),"1,570",1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-04,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/05),"2,055",1일전 (01/04),"2,055",1주일전 (12/29),"1,990",2주일전 (12/22),"1,990",1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-05,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/06),-,1일전 (01/05),"2,055",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-06,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/08),"2,020",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-08,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/09),"2,020",1일전 (01/08),"2,020",1주일전 (01/02),"1,990",2주일전 (12/26),"1,990",1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-09,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/10),"2,020",1일전 (01/09),"2,020",1주일전 (01/03),"2,105",2주일전 (12/27),"1,990",1개월전,"1,500",1년전,"2,236",일평년,"1,913",2024-01-10,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/11),"2,020",1일전 (01/10),"2,020",1주일전 (01/04),"2,055",2주일전 (12/28),"1,990",1개월전,"1,691",1년전,"2,386",일평년,"2,301",2024-01-11,
호박,224,애호박(1개),1,상품,4,1개,당일 (01/12),"2,020",1일전 (01/11),"2,020",1주일전 (01/05),"2,055",2주일전 (12/29),"1,990",1개월전,"1,691",1년전,"2,386",일평년,"2,301",2024-01-12,
