,Unnamed: 0,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
0,0,배추,211,여름(고랭지)(1포기),2,상품,4,1포기,당일 (11/01),4375.0,1일전 (10/31),"5,620",1주일전 (10/25),6455.0,2주일전 (10/18),8290.0,1개월전,8947.0,1년전,4115.0,일평년,"4,379",2024-11-01,-47.542857142857144,-89.4857142857143,-104.50285714285714,5.942857142857143
1,1,배추,211,여름(고랭지)(1포기),2,중품,5,1포기,당일 (11/01),4000.0,1일전 (10/31),"4,330",1주일전 (10/25),5000.0,2주일전 (10/18),5330.0,1개월전,8048.0,1년전,,일평년,"3,539",2024-11-01,-25.0,-33.25,-101.2,
2,2,양배추,212,양배추(1포기),0,상품,4,1포기,당일 (11/01),5330.0,1일전 (10/31),"5,000",1주일전 (10/25),5000.0,2주일전 (10/18),4220.0,1개월전,4436.0,1년전,4741.0,일평년,"4,314",2024-11-01,6.191369606003752,20.825515947467167,16.77298311444653,11.050656660412757
3,3,양배추,212,양배추(1포기),0,중품,5,1포기,당일 (11/01),3740.0,1일전 (10/31),"3,190",1주일전 (10/25),3190.0,2주일전 (10/18),3240.0,1개월전,3727.0,1년전,4057.0,일평년,"3,622",2024-11-01,14.705882352941178,13.368983957219251,0.34759358288770054,-8.475935828877006
4,4,시금치,213,시금치(100g),0,상품,4,100g,당일 (11/01),842.0,1일전 (10/31),"1,035",1주일전 (10/25),1000.0,2주일전 (10/18),1145.0,1개월전,2420.0,1년전,871.0,일평년,844,2024-11-01,-18.76484560570071,-35.98574821852731,-187.41092636579572,-3.44418052256532
5,5,상추,214,적(100g),1,상품,4,100g,당일 (11/01),1190.0,1일전 (10/31),"1,190",1주일전 (10/25),1155.0,2주일전 (10/18),1635.0,1개월전,2730.0,1년전,1158.0,일평년,"1,126",2024-11-01,2.941176470588235,-37.39495798319328,-129.41176470588235,2.689075630252101
6,6,상추,214,청(100g),2,상품,4,100g,당일 (11/01),1170.0,1일전 (10/31),"1,240",1주일전 (10/25),1205.0,2주일전 (10/18),1630.0,1개월전,2797.0,1년전,1260.0,일평년,"1,171",2024-11-01,-2.9914529914529915,-39.31623931623932,-139.05982905982904,-7.6923076923076925
7,7,얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (11/01),2725.0,1일전 (10/31),"2,810",1주일전 (10/25),2810.0,2주일전 (10/18),2810.0,1개월전,4930.0,1년전,2556.0,일평년,"2,725",2024-11-01,-3.1192660550458715,-3.1192660550458715,-80.91743119266054,6.201834862385321
8,8,갓,216,갓(1kg),0,상품,4,1kg,당일 (11/01),4330.0,1일전 (10/31),"4,660",1주일전 (10/25),3830.0,2주일전 (10/18),,1개월전,,1년전,3247.0,일평년,"3,489",2024-11-01,11.547344110854503,,,25.011547344110856
9,9,수박,221,수박(1개),0,상품,4,1개,당일 (11/01),,1일전 (10/31),"22,900",1주일전 (10/25),22900.0,2주일전 (10/18),24200.0,1개월전,25264.0,1년전,20783.0,일평년,"20,988",2024-11-01,,,,
10,10,수박,221,수박(1개),0,중품,5,1개,당일 (11/01),21450.0,1일전 (10/31),"21,450",1주일전 (10/25),21000.0,2주일전 (10/18),,1개월전,22196.0,1년전,15794.0,일평년,"18,333",2024-11-01,2.097902097902098,,-3.4778554778554778,26.36829836829837
11,11,오이,223,가시계통(10개),1,상품,4,10개,당일 (11/01),14850.0,1일전 (10/31),"13,250",1주일전 (10/25),12450.0,2주일전 (10/18),13250.0,1개월전,18046.0,1년전,10916.0,일평년,"9,909",2024-11-01,16.161616161616163,10.774410774410773,-21.521885521885523,26.491582491582495
12,12,오이,223,다다기계통(10개),2,상품,4,10개,당일 (11/01),15900.0,1일전 (10/31),"11,900",1주일전 (10/25),11900.0,2주일전 (10/18),11900.0,1개월전,16528.0,1년전,9119.0,일평년,"8,176",2024-11-01,25.157232704402517,25.157232704402517,-3.949685534591195,42.64779874213836
13,13,오이,223,취청(10개),3,상품,4,10개,당일 (11/01),13600.0,1일전 (10/31),"13,250",1주일전 (10/25),12450.0,2주일전 (10/18),13250.0,1개월전,20397.0,1년전,11330.0,일평년,"10,230",2024-11-01,8.455882352941178,2.5735294117647056,-49.97794117647059,16.691176470588236
