item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
배추,211,여름(고랭지)(1포기),02,상품,04,1포기,당일 (10/22),"8,864",1일전 (10/21),"9,162",1주일전 (10/15),"8,635",2주일전 (10/08),"8,758",1개월전,"9,581",1년전,"5,401",일평년,"5,057",2024-10-22 16:28:47.022217+09:00
배추,211,여름(고랭지)(1포기),02,중품,05,1포기,당일 (10/22),"6,722",1일전 (10/21),"6,678",1주일전 (10/15),"6,983",2주일전 (10/08),"8,079",1개월전,"7,681",1년전,"4,732",일평년,"4,149",2024-10-22 16:28:47.022217+09:00
양배추,212,양배추(1포기),00,상품,04,1포기,당일 (10/22),"5,005",1일전 (10/21),"4,983",1주일전 (10/15),"4,548",2주일전 (10/08),"4,538",1개월전,"4,311",1년전,"5,166",일평년,"4,405",2024-10-22 16:28:47.022217+09:00
양배추,212,양배추(1포기),00,중품,05,1포기,당일 (10/22),"3,970",1일전 (10/21),"3,938",1주일전 (10/15),"3,882",2주일전 (10/08),"3,777",1개월전,"3,717",1년전,"4,494",일평년,"3,699",2024-10-22 16:28:47.022217+09:00
시금치,213,시금치(100g),00,상품,04,100g,당일 (10/22),"1,495",1일전 (10/21),"1,529",1주일전 (10/15),"1,923",2주일전 (10/08),"2,310",1개월전,"3,058",1년전,949,일평년,944,2024-10-22 16:28:47.022217+09:00
상추,214,적(100g),01,상품,04,100g,당일 (10/22),"2,051",1일전 (10/21),"2,085",1주일전 (10/15),"2,619",2주일전 (10/08),"2,776",1개월전,"2,344",1년전,"1,259",일평년,"1,294",2024-10-22 16:28:47.022217+09:00
상추,214,청(100g),02,상품,04,100g,당일 (10/22),"2,165",1일전 (10/21),"2,237",1주일전 (10/15),"2,756",2주일전 (10/08),"2,806",1개월전,"2,526",1년전,"1,383",일평년,"1,349",2024-10-22 16:28:47.022217+09:00
얼갈이배추,215,얼갈이배추(1kg),00,상품,04,1kg,당일 (10/22),"4,051",1일전 (10/21),"4,192",1주일전 (10/15),"4,686",2주일전 (10/08),"4,932",1개월전,"5,255",1년전,"2,677",일평년,"2,678",2024-10-22 16:28:47.022217+09:00
수박,221,수박(1개),00,상품,04,1개,당일 (10/22),"26,494",1일전 (10/21),"26,206",1주일전 (10/15),"26,200",2주일전 (10/08),"26,186",1개월전,"25,973",1년전,"21,014",일평년,"20,650",2024-10-22 16:28:47.022217+09:00
수박,221,수박(1개),00,중품,05,1개,당일 (10/22),"23,279",1일전 (10/21),"23,238",1주일전 (10/15),"23,242",2주일전 (10/08),"22,641",1개월전,"21,732",1년전,-,일평년,"18,434",2024-10-22 16:28:47.022217+09:00
